"";"X.1";"X";"city_idx";"city";"country";"continent";"sample";"planar_area";"surface_area";"rugosity";"volume_per_unit_area";"height_range";"pop_abundance";"human_biomass";"total_biomass"
"1";1;1;"C1";"Jakarta";"IDN";"AS";1;4;4,00045017884373;1,00011254471093;0,414774088070611;0,0106251443776418;78446,7036982104;201891681,011492;201943500,114219
"2";2;2;"C1";"Jakarta";"IDN";"AS";2;4;4,00059313090317;1,00014828272579;0,289430982464517;0,00986562919616699;70936,3729091063;182562974,558793;182609832,604084
"3";3;3;"C1";"Jakarta";"IDN";"AS";3;4;4,00041910471482;1,0001047761787;0,425973781742155;0,00949182882905006;73970,3326635361;190371221,50948;190420083,680691
"4";4;4;"C1";"Jakarta";"IDN";"AS";4;4;4,00101534365479;1,0002538359137;0,461249975174665;0,0218221989870071;74722,6341691017;192307356,597711;192356715,712543
"5";5;5;"C1";"Jakarta";"IDN";"AS";5;4;4,00052398337756;1,00013099584439;0,360305064824235;0,00905390930175781;66570,005253531;171325621,498177;171369595,276272
"6";6;6;"C1";"Jakarta";"IDN";"AS";6;4;4,00037903997703;1,00009475999426;0,393900103926891;0,00997604179382324;89304,7301687598;229836070,173334;229895061,702212
"7";7;7;"C1";"Jakarta";"IDN";"AS";7;4;4,00068350848917;1,00017087712229;0,35150828055694;0,0112982028888073;50053,6732242405;128818927,394554;128851991,071068
"8";8;8;"C1";"Jakarta";"IDN";"AS";8;4;4,00038044950695;1,00009511237674;0,417509415986016;0,00910155322402716;106600,265714645;274348134,807511;274418551,152103
"9";9;9;"C1";"Jakarta";"IDN";"AS";9;4;4,00129892081294;1,00032473020324;0,420958619631128;0,0238825225830078;69877,9711265415;179839054,942111;179885213,844824
"10";10;10;"C1";"Jakarta";"IDN";"AS";10;4;4,00161313980583;1,00040328495146;0,428140808378375;0,0415233573913574;91451,5367048383;235361125,528659;235421535,161589
"11";11;11;"C1";"Jakarta";"IDN";"AS";11;4;4,00033124058448;1,00008281014612;0,315541888389504;0,008410080909729;74032,9698444605;190532425,5519;190581329,099005
"12";12;12;"C1";"Jakarta";"IDN";"AS";12;4;4,0011197372008;1,0002799343002;0,501894809174817;0,01880630463548;80661,8552858233;207592630,27558;207645912,62867
"13";13;13;"C1";"Jakarta";"IDN";"AS";13;4;4,00012407381049;1,00003101845262;0,351663127666805;0,00586457633972168;78781,520696044;202753371,348207;202805411,619135
"14";14;14;"C1";"Jakarta";"IDN";"AS";14;4;4,00042167969117;1,00010541992279;0,283529587758705;0,00555861986428499;48366,3277692795;124476348,36587;124508297,441982
"15";15;15;"C1";"Jakarta";"IDN";"AS";15;4;4,00171454563068;1,00042863640767;0,528585169345839;0,0273362445831299;100442,160401165;258499537,288778;258565885,807996
"16";16;16;"C2";"Dhaka";"BGD";"AS";1;4;4,00015855760421;1,00003963940105;0,131820362532893;0,00732969236373901;37957,4827133752;85168693,7728986;85190976,903576
"17";17;17;"C2";"Dhaka";"BGD";"AS";2;4;4,00002236207507;1,00000559051877;0,0247600744453157;0,00439056730270386;7858,5559399575;17632964,4776888;17637577,8823835
"18";18;18;"C2";"Dhaka";"BGD";"AS";3;4;4,00031276392444;1,00007819098111;0,168996094482602;0,00782993268966675;52632,7501894236;118096940,652203;118127838,972285
"19";19;19;"C2";"Dhaka";"BGD";"AS";4;4;4,00040582661213;1,00010145665303;0,262017915875556;0,00872067356109619;87100,3513367858;195435066,295916;195486198,994192
