code;country.x;BMI_men;BMI_women;mean_men_height_cm;mean_women_height_cm;sex_ratio;0-4;05-oct;nov-17;18+
AFG;Afghanistan;22.6;24.1;165.2558607;155.0753231;104.52996;16.1;17.1;17;49.9
AGO;Angola;22.3;24.3;167.3107273;157.3052103;101.84782;16.9;17.6;16.6;48.9
ALB;Albania;27;26.3;173.3888563;161.7698561;107.01907;5.2;7.2;8.3;79.4
AND;Andorra;27.3;26.1;176.0601667;162.9048767;105.818184;3;5.1;7.3;84.6
ARE;United Arab Emirates;28;29.4;170.4554301;158.6805869;104.40221;5.4;6.9;6.6;81.1
ARG;Argentina;27.8;27.6;174.6157252;159.1792058;104.964554;6;9.7;11.2;73.1
ARM;Armenia;25.6;27;171.9966462;158.0892096;108.47137;6;8.1;9.3;76.7
ATG;Antigua and Barbuda;25.7;27.7;172.7069903;160.6526419;103.13075;5.8;6.9;9.7;77.7
AUS;Australia;27.6;26.7;179.2046477;165.8581773;105.59271;5.8;7.3;8.6;78.3
AUT;Austria;26.5;24.6;177.4077047;164.6209454;105.44406;4.7;5.9;6.6;82.8
AZE;Azerbaijan;26.1;27.9;169.7494329;158.2524089;111.63294;6.5;9.2;11;73.2
BDI;Burundi;21.8;21.6;166.6352493;154.0233342;101.909874;15.8;18.3;18.3;47.5
BEL;Belgium;26.6;25.6;181.698803;165.4911355;104.76362;5;6.6;8.2;80.2
BEN;Benin;22.6;24.5;167.0572709;156.1559783;103.38512;15.4;16.8;16.2;51.6
BFA;Burkina Faso;22.2;22.1;169.3288328;160.1857488;103.56136;14.6;17.4;17.5;50.6
BGD;Bangladesh;21.3;22;163.8082283;150.7888441;104.561386;9.6;11;13.8;65.6
BGR;Bulgaria;27.1;25.7;178.2402511;164.7953594;105.94414;4.5;5.9;7.1;82.5
BHR;Bahrain;24.8;24.8;167.7434113;156.6916935;103.799675;6;8;8.2;77.8
BHS;Bahamas;27.1;28.8;172.7466298;160.680362;102.62664;5.5;7.3;9.8;77.4
BIH;Bosnia and Herzegovina;26.4;25.1;180.8691741;165.8483102;106.62575;4.1;5.2;6.9;83.7
BLR;Belarus;26.4;26.6;178.4384054;166.3465611;105.7996;4.4;7.5;8;80.1
BLZ;Belize;27.5;30.5;168.7317804;156.8758678;104.93299;8.7;11.2;12.7;67.4
BRA;Brazil;26.3;26.8;173.5512114;160.8635453;104.213745;6.3;8.1;9.7;75.8
BRB;Barbados;26.4;29.2;175.9161243;165.2770151;103.30311;5.6;6.9;8.8;78.7
BTN;Bhutan;23.5;24.5;165.3058846;153.6294552;104.43935;6.1;8.7;11.7;73.4
BWA;Botswana;22.5;26.1;171.6276505;161.3812749;102.69895;11.8;12.5;13.8;61.8
CAF;Central African Republic;22;23.7;166.6738233;158.0375986;101.76139;18.3;19.1;19.5;43.2
CAN;Canada;27.3;26.6;178.0903724;163.9122753;105.25542;4.8;6.2;7.6;81.4
CHE;Switzerland;26.7;23.7;178.42409;163.4526375;105.10496;4.9;6.1;6.9;82.1
CHL;Chile;27.8;28.1;171.8112817;159.3636607;104.160995;5;7.4;8.7;78.9
CHN;China;24.2;23.5;171.8276872;159.7088938;110.63025;4.1;7.5;8.5;79.9
CIV;Cote d'Ivoire;23.4;24.2;166.5328825;158.0654133;101.93798;14.7;16.8;16.3;52.2
CMR;Cameroon;23.6;25.1;167.8231913;158.8158298;102.256584;15.5;16.5;16.4;51.6
COG;Congo;22.3;24.1;167.4476256;157.5742041;102.03501;14.3;16.3;16.8;52.6
COK;Cook Islands;32.7;33.1;174.7678264;163.1852466;105.81396;6.9;10.2;13;69.9
COL;Colombia;25.8;26.6;169.4950788;156.8522111;104.29727;6.8;8.1;10.2;74.9
COM;Comoros;23.3;25.6;166.1943222;155.5820799;102.61568;13.4;14.9;15.3;56.4
CRI;Costa Rica;26.8;27.9;168.9318804;156.3662442;104.4091;5.6;8.1;9.9;76.4
CUB;Cuba;25.2;26;171.9961297;157.982959;107.011055;4.6;6.4;7.6;81.4
CYP;Cyprus;27.5;26;174.9948378;162.274366;106.43939;5.5;6.5;7;81
CZE;Czechia;27.9;26.2;180.1037446;168.4577837;105.12119;5.1;6.3;7.6;81.1
